TIME,Temperature,Pressure,Altitude
06:51.1,34.33,996.08,143.91
06:53.1,34.34,996.07,144.02
06:55.1,34.35,996.06,144.1
06:57.1,34.36,996.05,144.21
06:59.1,34.37,996.04,144.25
07:01.1,34.38,996.01,144.51
07:03.1,34.4,995.97,144.83
07:05.1,34.41,995.95,145.02
07:07.2,34.43,995.93,145.21
07:09.2,34.44,995.92,145.31
07:11.2,34.46,995.91,145.41
07:13.2,34.47,995.9,145.49
07:15.2,34.49,995.89,145.54
07:17.2,34.5,995.89,145.57
07:19.2,34.51,995.88,145.62
07:21.2,34.53,995.88,145.66
07:23.2,34.54,995.87,145.68
07:25.3,34.55,995.87,145.68
07:27.3,34.56,995.87,145.7
07:29.3,34.57,995.87,145.7
07:31.3,34.58,995.88,145.65
07:33.3,34.58,995.88,145.61
07:35.3,34.59,995.88,145.64
07:37.3,34.6,995.88,145.67
07:39.3,34.61,995.87,145.68
07:41.3,34.62,995.88,145.64
07:43.4,34.64,995.88,145.67
07:45.4,34.65,995.87,145.7
07:47.4,34.65,995.87,145.73
07:49.4,34.66,995.87,145.7
07:51.4,34.65,995.87,145.68
07:53.4,34.65,995.88,145.61
07:55.4,34.65,995.88,145.61
07:57.4,34.66,995.88,145.65
07:59.4,34.66,995.87,145.69
08:01.4,34.67,995.87,145.72
08:03.5,34.68,995.87,145.73
08:05.5,34.68,995.86,145.78
08:07.5,34.69,995.86,145.78
08:09.5,34.7,995.86,145.78
08:11.5,34.72,995.86,145.82
08:13.5,34.74,995.86,145.81
08:15.5,34.75,995.86,145.8
08:17.5,34.76,995.86,145.79
08:19.6,34.77,995.86,145.83
08:21.6,34.77,995.86,145.83
08:23.6,34.78,995.86,145.78
08:25.6,34.77,995.86,145.78
08:27.6,34.77,995.87,145.73
08:29.6,34.77,995.87,145.74
08:31.6,34.77,995.87,145.71
08:33.6,34.76,995.87,145.73
08:35.6,34.76,995.87,145.71
08:37.7,34.76,995.87,145.68
08:39.7,34.76,995.87,145.68
08:41.7,34.76,995.88,145.66
08:43.7,34.75,995.88,145.67
08:45.7,34.75,995.87,145.68
08:47.7,34.74,995.87,145.69
08:49.7,34.74,995.88,145.67
08:51.7,34.73,995.87,145.69
08:53.7,34.72,995.86,145.76
08:55.8,34.72,995.86,145.77
08:57.8,34.72,995.86,145.8
08:59.8,34.71,995.85,145.86
09:01.8,34.71,995.85,145.86
09:03.8,34.71,995.85,145.9
09:05.8,34.71,995.85,145.89
09:07.8,34.71,995.85,145.85
09:09.8,34.7,995.85,145.85
09:11.8,34.7,995.85,145.87
09:13.9,34.7,995.85,145.9
09:15.9,34.7,995.85,145.87
09:17.9,34.7,995.86,145.82
09:19.9,34.71,995.86,145.81
09:21.9,34.71,995.86,145.78
09:23.9,34.72,995.86,145.79
09:25.9,34.73,995.86,145.83
09:27.9,34.75,995.85,145.89
09:29.9,34.76,995.85,145.9
09:31.9,34.77,995.84,145.94
09:34.0,34.79,995.84,145.99
09:36.0,34.8,995.84,146
09:38.0,34.82,995.83,146.04
09:40.0,34.83,995.83,146.08
09:42.0,34.84,995.82,146.15
09:44.0,34.84,995.81,146.21
09:46.0,34.84,995.81,146.23
09:48.0,34.85,995.82,146.17
09:50.1,34.85,995.82,146.18
09:52.1,34.86,995.82,146.14
09:54.1,34.86,995.82,146.13
09:56.1,34.87,995.82,146.16
09:58.1,34.88,995.82,146.16
10:00.1,34.89,995.82,146.14
10:02.1,34.9,995.82,146.15
10:04.1,34.91,995.82,146.15
10:06.1,34.92,995.82,146.15
10:08.2,34.93,995.82,146.15
10:10.2,34.93,995.82,146.17
10:12.2,34.94,995.82,146.14
10:14.2,34.95,995.83,146.08
10:16.2,34.96,995.83,146.06
10:18.2,34.96,995.83,146.04
10:20.2,34.97,995.83,146.07
10:22.2,34.97,995.83,146.1
10:24.2,34.97,995.82,146.14
10:26.2,34.98,995.82,146.17
10:28.3,34.98,995.82,146.17
10:30.3,34.99,995.82,146.12
10:32.3,35,995.82,146.14
10:34.3,35.01,995.83,146.07
10:36.3,35.02,995.83,146.07
10:38.3,35.02,995.83,146.09
10:40.3,35.03,995.83,146.05
10:42.3,35.04,995.83,146.02
10:44.3,35.05,995.84,145.98
10:46.4,35.05,995.84,145.98
10:48.4,35.06,995.84,145.98
10:50.4,35.07,995.84,145.97
10:52.4,35.09,995.84,146
10:54.4,35.11,995.83,146.08
10:56.4,35.13,995.83,146.08
10:58.4,35.15,995.82,146.14
11:00.4,35.16,995.82,146.1
11:02.4,35.17,995.82,146.11
11:04.5,35.17,995.83,146.03
11:06.5,35.18,995.84,145.96
11:08.5,35.18,995.84,145.95
11:10.5,35.18,995.84,145.95
11:12.5,35.18,995.84,146.01
11:14.5,35.18,995.83,146.06
11:16.5,35.17,995.82,146.12
11:18.5,35.17,995.83,146.09
11:20.6,35.16,995.82,146.1
11:22.6,35.15,995.82,146.13
11:24.6,35.15,995.83,146.08
11:26.6,35.14,995.83,146.04
11:28.6,35.14,995.83,146.03
11:30.6,35.13,995.83,146.06
11:32.6,35.13,995.84,146
11:34.6,35.12,995.84,145.99
11:36.6,35.12,995.84,145.98
11:38.7,35.12,995.84,146
11:40.7,35.11,995.83,146.05
11:42.7,35.11,995.84,146.01
11:44.7,35.11,995.86,145.83
11:46.7,35.12,995.88,145.65
11:48.7,35.16,995.9,145.47
11:50.7,35.22,995.92,145.33
11:52.7,35.28,995.92,145.31
11:54.7,35.37,995.93,145.19
11:56.8,35.44,995.93,145.22
11:58.8,35.53,995.93,145.22
12:00.8,35.59,995.93,145.2
12:02.8,35.68,995.95,145.07
12:04.8,35.76,995.95,145.03
12:06.8,35.85,995.96,145
12:08.8,35.93,995.95,145.01
12:10.8,35.99,995.96,144.95
12:12.8,36.07,995.97,144.9
12:14.8,36.12,995.97,144.89
12:16.9,36.18,995.96,144.93
12:18.9,36.23,995.96,144.94
12:20.9,36.29,995.96,145
12:22.9,36.35,995.94,145.11
12:24.9,36.4,995.94,145.15
12:26.9,36.46,995.93,145.18
12:28.9,36.51,995.93,145.21
12:30.9,36.57,995.93,145.22
12:32.9,36.61,995.93,145.22
12:35.0,36.66,995.93,145.21
12:37.0,36.7,995.93,145.18
12:39.0,36.75,995.94,145.17
12:41.0,36.79,995.93,145.18
12:43.0,36.84,995.93,145.17
12:45.0,36.88,995.93,145.2
12:47.0,36.92,995.93,145.21
12:49.0,36.97,995.93,145.19
12:51.1,37.01,995.93,145.18
12:53.1,37.05,995.93,145.2
12:55.1,37.1,995.94,145.12
12:57.1,37.13,995.93,145.19
12:59.1,37.16,995.93,145.19
13:01.1,37.19,995.93,145.22
13:03.1,37.21,995.93,145.25
13:05.1,37.22,995.92,145.31
13:07.1,37.22,995.91,145.4
13:09.2,37.21,995.91,145.36
13:11.2,37.21,995.91,145.34
13:13.2,37.21,995.92,145.28
13:15.2,37.22,995.92,145.27
13:17.2,37.22,995.92,145.3
13:19.2,37.24,995.92,145.31
13:21.2,37.25,995.92,145.27
13:23.2,37.26,995.91,145.33
13:25.2,37.27,995.91,145.35
13:27.3,37.28,995.91,145.36
13:29.3,37.29,995.91,145.37
13:31.3,37.3,995.91,145.37
13:33.3,37.31,995.91,145.39
13:35.3,37.32,995.91,145.41
13:37.3,37.32,995.91,145.4
13:39.3,37.33,995.9,145.45
13:41.3,37.33,995.9,145.47
13:43.4,37.33,995.89,145.51
13:45.4,37.34,995.9,145.5
13:47.4,37.34,995.89,145.56
13:49.4,37.34,995.89,145.58
13:51.4,37.34,995.88,145.6
13:53.4,37.35,995.88,145.61
13:55.4,37.35,995.88,145.63
13:57.4,37.36,995.88,145.63
13:59.4,37.36,995.88,145.65
14:01.5,37.37,995.88,145.62
14:03.5,37.38,995.89,145.58
14:05.5,37.38,995.89,145.59
14:07.5,37.38,995.88,145.64
14:09.5,37.39,995.88,145.64
14:11.5,37.39,995.88,145.63
14:13.5,37.39,995.88,145.65
14:15.5,37.39,995.88,145.66
14:17.5,37.4,995.87,145.69
14:19.6,37.4,995.87,145.73
14:21.6,37.4,995.87,145.74
14:23.6,37.41,995.87,145.72
14:25.6,37.42,995.87,145.68
14:27.6,37.42,995.88,145.67
14:29.6,37.43,995.88,145.66
14:31.6,37.43,995.87,145.7
14:33.6,37.44,995.87,145.69
14:35.6,37.45,995.87,145.69
14:37.7,37.46,995.87,145.68
14:39.7,37.47,995.87,145.69
14:41.7,37.48,995.88,145.67
14:43.7,37.48,995.88,145.67
14:45.7,37.5,995.87,145.68
14:47.7,37.51,995.88,145.62
14:49.7,37.52,995.87,145.68
14:51.7,37.52,995.87,145.68
14:53.7,37.52,995.87,145.7
14:55.8,37.52,995.87,145.73
14:57.8,37.53,995.87,145.72
14:59.8,37.54,995.87,145.73
15:01.8,37.54,995.86,145.78
15:03.8,37.54,995.86,145.79
15:05.8,37.53,995.86,145.84
15:07.8,37.5,995.85,145.85
15:09.8,37.47,995.85,145.85
15:11.8,37.45,995.85,145.87
15:13.9,37.43,995.85,145.9
15:15.9,37.4,995.85,145.91
15:17.9,37.38,995.84,145.96
15:19.9,37.36,995.83,146.05
15:21.9,37.34,995.82,146.14
15:23.9,37.32,995.81,146.23
15:25.9,37.31,995.81,146.24
15:27.9,37.3,995.79,146.35
15:29.9,37.28,995.78,146.44
15:32.0,37.26,995.77,146.57
15:34.0,37.24,995.77,146.56
15:36.0,37.2,995.77,146.55
15:38.0,37.18,995.77,146.49
15:40.0,37.15,995.77,146.57
15:42.0,37.13,995.76,146.66
15:44.0,37.11,995.76,146.67
15:46.0,37.08,995.76,146.65
15:48.0,37.06,995.77,146.6
15:50.1,37.05,995.77,146.56
15:52.1,37.04,995.77,146.59
15:54.1,37.03,995.77,146.58
15:56.1,37.02,995.77,146.56
15:58.1,37.02,995.77,146.54
16:00.1,37.02,995.78,146.46
16:02.1,37.02,995.78,146.44
16:04.1,37.02,995.78,146.44
16:06.1,37.02,995.78,146.44
16:08.2,37.02,995.78,146.44
16:10.2,37.02,995.79,146.41
16:12.2,37.02,995.79,146.39
16:14.2,37.02,995.8,146.34
16:16.2,37.02,995.8,146.34
16:18.2,37.03,995.8,146.32
16:20.2,37.03,995.8,146.32
